Step,Seg 9,Seg 14,Seg 64,Seg 78,Seg 83,Seg 85,Seg 96,Seg 97,Seg 98,Seg 100,Seg 103,Seg 104,Seg 106,Seg 108,Seg 109,Seg 112,Seg 113,Seg 115,Seg 117,Seg 122,Seg 128,Seg 355,Seg 356,Seg 362,Seg 367,Seg 370,Seg 377,Seg 379,Seg 381,Seg 382,Seg 385,Seg 387,Seg 390,Seg 400,Seg 403,Seg 405,Seg 409,Seg 425,Seg 667,Seg 669,Seg 674,Seg 678,Seg 686,Seg 687,Seg 691,Seg 692,Seg 694,Seg 696,Seg 697,Seg 698,Seg 700,Seg 702,Seg 703,Seg 711,Seg 713,Seg 714,Seg 715,Seg 717,Seg 732,Seg 733,Seg 736,Seg 738,Seg 747,Seg 1014,Seg 1040,Seg 1047,Seg 1049,Seg 1050,Seg 1054,Seg 1056,Seg 1057,Seg 1060,Seg 1061,Seg 1064,Seg 1069,Seg 1072,Seg 1082,Seg 1084,Seg 1362,Seg 1364,Seg 1368,Seg 1374,Seg 1375,Seg 1382,Seg 1386,Seg 1388,Seg 1389,Seg 1391,Seg 1393,Seg 1394,Seg 1395,Seg 1396,Seg 1397,Seg 1398,Seg 1399,Seg 1401,Seg 1404,Seg 1405,Seg 1406,Seg 1407,Seg 1411,Seg 1419,Seg 1421,Seg 1427,Seg 1708,Seg 1711,Seg 1713,Seg 1715,Seg 1717,Seg 1723,Seg 1730,Seg 1731,Seg 1732,Seg 1734,Seg 1735,Seg 1736,Seg 1739,Seg 1749,Seg 1750,Seg 1756,Seg 1760,Seg 1767,Seg 1768,Seg 1770,Seg 2047,Seg 2050,Seg 2051,Seg 2060,Seg 2063,Seg 2065,Seg 2066,Seg 2067,Seg 2072,Seg 2082,Seg 2083,Seg 2088,Seg 2090,
12,0,0,0,1,0,0,0,3,2,6,0,1,6,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,2,2,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6363,6560,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,0,0,0,1,8,0,0,0,0,9,0,1,27,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,2,1,3,0,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0,20,0,0,0,0,1,3,1,9,0,0,3,0,1,1,0,0,1,0,0,0,0,0,0,0,7,0,6291,6556,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,
36,0,0,0,4,7,2,0,1,0,10,0,1,33,1,1,0,2,0,0,0,0,0,0,0,0,3,2,0,0,14,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,6,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,32,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,19,0,0,7,1,0,1,3,10,1,0,3,0,1,4,1,1,1,0,0,1,0,0,0,2,9,0,6224,6566,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,
48,0,0,1,2,12,2,3,2,1,2,0,2,52,0,4,1,0,2,1,0,0,0,0,0,0,3,2,0,0,14,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,1,2,1,0,0,0,0,1,2,1,0,0,2,1,0,0,0,0,0,38,4,0,2,0,0,0,0,0,0,0,1,0,0,0,0,11,0,2,0,26,0,0,13,0,0,2,0,6,0,0,2,0,0,4,1,0,2,0,0,0,0,0,0,0,6,0,6152,6592,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,2,1,3,0,0,
60,0,0,0,7,4,2,1,2,0,16,0,0,64,0,5,0,1,1,0,0,0,0,1,0,0,5,5,0,0,28,0,0,0,3,2,0,0,0,0,0,1,2,0,0,1,4,3,3,0,0,0,0,0,1,4,0,1,2,1,0,0,0,0,0,47,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,8,0,3,0,28,1,0,16,0,0,3,2,7,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,3,11,0,6071,6594,2,0,0,5,0,0,0,0,0,0,2,0,0,0,1,0,0,5,0,3,4,4,0,0,
72,0,0,0,4,9,1,1,1,0,9,0,1,99,0,4,0,3,1,1,0,1,0,2,0,0,1,3,0,0,38,0,0,1,0,2,0,1,0,0,0,3,0,0,1,0,3,4,6,0,1,0,0,1,4,4,1,3,4,2,0,0,0,0,0,60,1,0,0,2,4,0,0,0,0,0,0,1,0,0,0,18,0,1,0,10,0,0,23,0,0,1,1,10,0,0,5,0,0,3,1,0,1,1,0,0,0,0,0,7,9,0,5987,6616,0,0,0,6,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,4,2,3,0,0,
84,0,0,0,9,6,3,1,3,0,22,0,2,113,1,1,0,1,3,1,0,0,0,2,0,0,1,3,0,1,33,0,0,0,3,4,0,1,0,0,0,1,0,0,1,1,3,3,2,0,0,0,0,0,1,4,1,0,8,1,0,0,0,1,0,72,2,0,10,0,1,0,0,0,0,1,1,0,0,0,0,13,0,2,1,14,0,0,13,2,1,3,3,6,0,1,4,0,1,6,4,0,2,0,0,0,0,0,0,9,15,0,5915,6637,0,0,1,5,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,2,5,0,0,
96,1,0,0,5,6,5,1,1,2,8,0,0,124,0,4,0,3,1,2,0,0,0,2,0,0,0,5,0,0,36,0,0,0,0,4,1,1,0,0,0,0,0,1,1,2,5,1,5,0,1,0,0,1,0,8,2,3,12,2,0,0,0,2,0,82,0,0,4,1,3,0,0,0,0,2,0,1,0,0,0,20,0,2,0,22,0,0,18,2,1,5,1,7,1,1,3,0,0,4,1,1,4,0,0,0,0,0,0,14,24,0,5830,6664,0,0,0,5,0,0,0,0,0,0,1,0,0,0,1,0,0,4,1,3,4,5,0,0,
108,1,0,0,5,16,6,2,3,0,6,0,1,147,0,2,0,1,4,3,1,0,0,2,0,0,2,7,0,0,38,0,0,1,4,4,0,5,0,0,0,0,1,1,0,1,6,2,0,0,0,0,0,0,0,4,0,0,15,3,0,1,0,1,0,90,1,0,5,0,4,0,1,0,1,0,1,0,0,0,0,9,0,1,0,12,0,0,17,2,2,1,3,8,0,2,3,0,0,2,6,0,4,2,0,0,0,0,0,15,23,0,5754,6709,1,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,1,8,0,3,5,3,0,0,
120,1,0,0,5,10,2,3,4,0,11,0,3,162,0,7,1,0,2,1,2,1,0,1,0,0,2,5,0,1,41,0,0,0,1,3,1,4,2,0,0,3,0,0,0,2,6,4,3,0,0,1,0,0,3,6,1,0,20,2,0,1,0,5,0,103,4,0,3,0,2,1,0,1,3,1,1,0,0,0,0,19,0,5,0,15,0,0,18,2,0,1,2,4,0,0,1,0,0,4,3,0,5,0,0,0,2,0,0,16,6,0,5687,6727,0,0,1,8,0,0,0,0,0,0,3,0,0,0,2,0,0,2,0,3,5,5,1,1,
132,0,1,0,4,6,8,0,0,0,18,0,4,171,1,3,0,1,1,2,0,0,0,1,0,0,2,6,2,0,59,0,0,0,2,3,0,2,2,0,0,5,1,1,0,1,6,2,2,0,0,0,0,0,2,4,2,5,26,2,0,1,0,9,0,112,2,0,9,1,2,0,0,0,1,0,1,0,1,0,0,20,0,7,0,9,0,0,13,1,1,2,2,17,0,1,3,0,0,4,3,2,4,0,0,0,0,0,0,12,10,0,5614,6745,0,0,0,5,0,1,0,0,0,1,3,0,0,0,2,0,0,6,0,4,6,5,0,0,
144,0,1,0,7,5,2,2,2,1,9,0,2,195,0,1,0,1,3,0,0,0,0,1,0,0,3,6,2,2,64,0,0,0,0,3,2,1,1,0,0,4,2,0,0,1,5,5,4,0,0,0,0,0,3,4,3,2,33,3,0,2,0,10,0,122,0,2,7,1,0,0,0,4,2,0,2,0,1,0,0,17,0,1,0,16,0,0,19,0,4,2,5,8,0,0,1,0,0,4,3,0,7,1,0,0,1,1,0,22,15,0,5547,6760,0,0,0,2,0,2,0,0,0,1,5,0,0,0,5,0,0,5,0,2,5,1,0,0,
156,0,2,0,5,8,3,3,1,3,10,0,5,218,1,0,0,1,1,2,0,1,0,1,0,0,5,7,0,1,68,0,0,0,1,4,2,2,0,0,0,6,1,0,0,3,4,6,3,0,0,0,0,1,1,2,1,0,35,2,0,2,0,10,0,135,0,0,7,1,3,0,0,1,1,1,2,1,0,0,0,20,2,3,1,6,0,0,23,1,1,3,3,16,0,2,3,0,1,2,6,1,8,2,1,0,0,1,0,18,13,0,5482,6776,0,1,0,1,0,0,1,0,1,0,3,0,0,0,1,0,0,1,0,3,7,2,0,0,
168,0,0,0,8,15,7,2,2,0,17,0,4,233,0,1,0,0,4,2,0,0,0,0,1,1,11,6,0,0,75,0,0,0,2,2,0,2,0,0,0,4,0,1,0,1,5,5,2,0,0,2,0,0,1,6,2,2,45,2,0,2,1,7,0,150,1,0,4,0,2,0,0,4,1,0,3,2,2,0,0,13,0,5,1,8,0,0,22,0,0,5,3,8,0,0,1,0,0,8,5,3,8,0,0,0,1,0,0,17,18,0,5404,6788,0,1,1,4,0,1,2,0,0,1,6,0,0,0,0,0,0,3,1,4,3,2,0,1,
180,0,0,0,7,6,3,4,1,1,17,0,2,244,0,4,0,1,2,4,0,0,0,0,0,0,7,5,0,0,82,0,0,0,0,3,2,3,0,0,0,5,2,1,0,2,6,5,4,0,0,1,0,0,2,4,0,1,51,1,2,0,0,11,0,164,3,0,23,0,2,0,0,1,0,3,1,0,1,0,0,17,1,2,0,13,1,0,7,2,2,1,1,11,0,3,2,0,0,4,2,0,11,0,0,1,1,0,1,17,25,0,5327,6817,0,1,0,10,0,3,2,0,3,0,4,0,0,1,5,0,0,2,0,1,4,1,0,0,
192,0,0,0,7,9,3,4,2,1,10,0,2,253,0,4,1,1,2,1,0,1,1,1,0,0,4,6,0,0,95,0,0,0,2,2,0,2,0,0,0,4,3,3,0,0,5,2,5,0,0,0,1,0,3,5,0,2,60,2,2,0,0,12,0,176,2,0,27,0,0,0,0,1,0,1,2,0,0,0,0,13,1,7,1,9,0,0,8,3,3,5,0,11,0,0,1,0,0,7,2,0,4,1,0,0,0,0,0,24,40,0,5257,6829,0,1,1,6,0,2,0,0,2,2,14,1,0,0,2,0,0,3,0,1,4,2,0,1,
204,0,0,1,6,7,5,2,0,1,11,0,1,276,0,3,0,1,3,3,0,0,0,2,0,0,6,4,1,1,102,1,0,1,3,0,0,4,0,0,0,2,2,1,0,1,3,3,4,0,0,1,0,0,3,4,1,2,63,8,1,3,2,8,0,184,1,0,9,2,1,0,0,0,3,0,2,0,0,0,0,15,0,1,0,12,0,0,21,0,0,3,2,7,0,2,3,0,0,5,2,0,10,1,0,0,0,0,0,34,46,0,5179,6849,1,3,0,8,1,0,1,0,1,1,11,0,1,0,2,0,0,7,0,3,4,4,0,1,
216,1,1,1,6,8,4,1,1,2,18,0,0,294,0,2,0,1,2,4,0,1,0,1,0,0,5,5,0,0,109,0,1,0,3,0,1,6,0,0,0,0,2,0,0,2,3,5,4,0,2,1,0,0,1,8,0,0,68,8,0,3,1,9,0,191,1,0,4,1,2,0,0,3,0,0,0,2,0,0,1,8,0,3,0,11,0,0,20,0,0,5,2,8,0,3,1,0,0,2,3,0,8,1,0,0,0,0,0,40,56,1,5103,6865,0,0,2,15,0,1,0,0,1,2,10,0,0,0,5,0,0,7,0,2,9,4,1,1,
228,2,0,0,6,12,4,0,1,1,15,0,4,320,1,4,0,0,4,0,1,1,0,1,0,0,1,4,0,0,102,0,0,0,3,1,0,8,0,1,1,3,0,0,0,6,3,7,4,0,1,1,0,0,2,5,2,0,72,5,2,2,1,11,0,201,2,0,11,1,7,0,0,2,1,1,1,3,1,0,0,7,0,5,0,15,0,1,10,0,1,0,0,13,0,0,2,1,0,5,3,0,3,1,0,0,1,0,0,42,45,0,5028,6905,0,0,1,12,0,0,1,0,4,1,13,0,0,0,1,0,0,3,0,4,7,7,1,1,
240,1,0,0,5,5,6,1,4,1,15,1,3,335,2,0,1,0,1,1,1,0,0,1,0,0,2,5,0,0,106,0,0,1,4,1,2,4,1,0,0,5,0,2,0,3,5,2,3,0,0,0,0,0,3,6,0,3,75,3,1,3,2,20,1,216,1,0,11,0,5,0,0,3,1,0,0,2,2,0,0,7,0,3,1,13,0,0,21,2,1,3,1,7,0,3,2,0,1,3,4,2,8,0,0,0,0,0,0,40,42,0,4949,6951,1,0,0,6,0,1,0,1,3,1,8,0,1,0,5,0,0,5,0,2,6,7,0,1,
252,3,2,0,2,13,6,1,1,0,12,0,3,354,1,2,2,1,3,3,0,0,0,0,0,0,1,7,0,1,115,0,2,0,2,0,0,3,1,0,0,5,1,2,0,6,2,1,2,0,0,1,0,0,2,4,1,1,82,1,3,0,3,25,1,225,0,0,19,0,1,0,0,4,0,0,2,0,1,0,0,6,0,2,1,26,0,0,11,3,1,4,1,8,0,2,2,0,1,4,3,2,5,0,1,0,1,0,0,39,30,0,4878,6971,0,0,0,16,0,2,1,0,0,2,8,1,0,0,3,0,0,2,0,6,11,7,1,2,
264,0,2,1,12,7,6,3,6,1,21,0,2,371,0,3,0,5,2,3,0,0,1,0,0,0,4,10,0,1,120,0,0,1,2,0,0,2,1,0,0,3,0,2,0,5,2,6,7,1,1,2,1,1,5,3,2,1,88,5,2,2,2,25,0,234,0,0,11,1,1,0,0,7,1,2,4,0,0,0,0,7,0,1,0,7,0,0,13,2,0,1,0,9,0,0,0,0,2,9,4,0,6,0,0,0,0,0,0,48,13,0,4804,7003,0,1,0,4,0,2,0,0,3,3,12,0,0,0,4,1,0,9,0,2,9,5,1,1,
